,元大巴西指數基金,元大商品指數期貨基金,元大標普500單日反向1倍基金,元大華夏中小基金,元大新中國基金-人民幣,元大新中國基金-新台幣,元大滬深300單日正向2倍基金,元大中國平衡基金-新台幣,元大新中國基金-美元,元大標智滬深300基金,元大上證50基金,元大台灣50單日反向1倍基金,元大亞太成長基金,元大全球公用能源效率基金-配息型,元大大中華價值指數基金-人民幣,元大全球公用能源效率基金-不配息型,元大中國平衡基金-人民幣,元大全球新興市場精選組合基金,元大美元貨幣市場基金-新台幣,元大大中華價值指數基金-新台幣,元大台商收成基金,元大大中華TMT基金-人民幣,元大新興亞洲基金,元大大中華TMT基金-新台幣,元大大中華價值指數基金-美元,元大高科技基金,元大台灣高股息基金,元大中國機會債券基金-人民幣（A）不配息,元大中國機會債券基金-人民幣（B）配息,元大卓越基金,元大巴菲特基金,元大新興印尼機會債券基金-人民幣,元大人民幣貨幣市場基金-人民幣,元大美元貨幣市場基金-美元,元大萬泰貨幣市場基金,元大得利貨幣市場基金,元大得寶貨幣市場基金,元大印度指數基金,元大中國機會債券基金-新台幣,元大亞太政府公債指數基金（A）-不配息型,元大亞太政府公債指數基金（B）-配息型,元大台灣中型100基金,元大新興印尼機會債券基金-新台幣配息,元大新興印尼機會債券基金-新台幣不配息,元大印度基金,元大人民幣貨幣市場基金-新台幣,元大台灣金融基金,元大經貿基金,元大台灣電子科技基金,元大多福基金,元大新興印尼機會債券基金-美金,元大台灣加權股價指數基金,元大台灣卓越50基金,元大摩臺基金,元大滬深300單日反向1倍基金,元大全球ETF穩健組合基金,元大富櫃50基金,元大2001基金,元大標普高盛原油ER指數股票型期貨信託基金,元大店頭基金,元大全球股票入息基金-美元配息,元大黃金期貨基金,元大全球股票入息基金-新台幣不配息,元大全球ETF成長組合基金,元大全球不動產證券化基金-人民幣,元大多多基金,元大全球股票入息基金-新台幣配息,元大新主流基金,元大全球不動產證券化基金-美元,元大全球地產建設入息基金-配息型,元大全球不動產證券化基金（A）-不配息型,元大全球地產建設入息基金-不配息型,元大標普500基金,元大全球不動產證券化基金（B）-配息型,元大全球農業商機基金,元大台灣50單日正向2倍基金,元大印尼指數基金,元大標普500單日正向2倍基金,國泰A50傘型基金之富時中國A50單日正向2倍基金,國泰富時中國A50基金,國泰中國內需增長基金台幣級別,國泰中國新興戰略基金台幣級別,國泰中國內需增長基金美元I級別,國泰中國內需增長基金美元級別,國泰中港台基金台幣級別,國泰中國新興戰略基金美元級別,國泰中港台基金美元級別,國泰歐洲精選基金-台幣級別,國泰亞洲成長基金台幣級別,國泰亞洲成長基金美元級別,國泰亞太入息平衡基金-人民幣級別A（不配息型）,國泰新興市場基金台幣級別,國泰亞太入息平衡基金-澳幣級別A（不配息型）,國泰歐洲精選基金-美元級別,國泰全球資源基金台幣級別,國泰亞太入息平衡基金-台幣級別A（不配息型）,國泰亞太入息平衡基金-台幣級別B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-澳幣A（不配息型）,國泰亞太入息平衡基金-美金級別A（不配息型）,國泰亞太入息平衡基金-美金級別B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-新台幣B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-新台幣A（不配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元B（配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元I（不配息型）,國泰收益傘型基金之全球多重收益平衡基金-美元A（不配息型）,國泰科技生化基金,國泰中小成長基金-台幣級別,國泰新興高收益債券基金（人民幣）-配息B,國泰新興高收益債券基金（人民幣）-不配息A,國泰價值卓越基金,國泰小龍基金-台幣級別,國泰國泰基金新台幣級別,國泰大中華基金,國泰策略高收益債券基金-台幣級別A（不配息型）,國泰策略高收益債券基金-台幣級別B（配息型）,國泰新興高收益債券基金（新台幣）-不配息A,國泰新興高收益債券基金（新台幣）-配息B,國泰新興高收益債券基金（美元）-不配息A,國泰新興高收益債券基金（美元）-配息B,國泰新興高收益債券基金（美元）-不配息I,國泰中國高收益債券基金-CNY（A）不分配,國泰幸福階梯傘型基金之全球積極組合基金-新台幣A,國泰幸福階梯傘型基金之全球積極組合基金-美金級別,國泰全球基礎建設基金台幣級別,國泰中國高收益債券基金-TWD（B）分配,國泰中國高收益債券基金-TWD（A）不分配,國泰豐益債券組合基金台幣級別,國泰全球基礎建設基金美元級別,國泰紐幣八年期保本基金,國泰紐幣2021保本基金,國泰紐幣保本基金,國泰中國傘型基金之人民幣貨幣市場基金人民幣級別,國泰中國高收益債券基金-USD（A）不分配,國泰台灣貨幣市場基金,國泰中國傘型基金之中國新興債券基金台幣級別,國泰中國傘型基金之人民幣貨幣市場基金美元級別,國泰中國傘型基金之中國新興債券基金美元級別,國泰A50傘型基金之富時中國A50單日反向1倍基金,野村鑫全球債券組合基金-累積類型,野村鑫全球債券組合基金-累積類型,野村環球高收益債基金-月配類型新臺幣計價,野村環球高收益債基金-月配類型新臺幣計價,野村全球短期收益基金-新臺幣計價,野村全球不動產證券化基金-月配類型人民幣計價,野村全球不動產證券化基金-月配類型人民幣計價,野村環球高收益債基金-月配類型美元計價,野村美利堅高收益債基金-月配類型美元計價,野村美利堅高收益債基金-月配類型人民幣計價,野村美利堅高收益債基金-月配類型新臺幣計價,野村美利堅高收益債基金-月配類型新臺幣計價,野村貨幣市場基金,野村精選貨幣市場基金,野村鴻揚貨幣市場基金,野村亞太高股息基金-累積型人民幣計價,野村環球高收益債基金-月配類型人民幣計價,野村亞太高股息基金-季配型人民幣計價,野村台灣高股息基金,野村台灣高股息基金,野村新興高收益債組合基金-月配型,野村新興高收益債組合基金-月配型,野村全球不動產證券化基金月配型新臺幣計價,野村全球不動產證券化基金月配型新臺幣計價,野村ｅ科技基金,野村高科技基金,野村中小基金-累積類型,野村優質基金-累積類型新臺幣計價,野村台灣運籌基金,野村鴻運基金,野村積極成長基金,野村成長基金,野村鴻利基金,野村平衡基金,野村巴西基金,野村台灣高股息基金,野村台灣高股息基金,野村新興傘型基金之大俄羅斯基金,野村環球基金-人民幣計價,野村動態配置多重資產基金-累積類型南非幣計價,野村動態配置多重資產基金-月配類型澳幣計價,野村動態配置多重資產基金-累積類型澳幣計價,野村動態配置多重資產基金-月配類型南非幣計價,野村環球基金-累積類型新臺幣計價,野村動態配置多重資產基金-月配類型新臺幣計價,野村動態配置多重資產基金-累積類型新臺幣計價,野村全球品牌基金,野村泰國基金,野村動態配置多重資產基金-月配類型美元計價,野村動態配置多重資產基金-累積類型美元計價,野村動態配置多重資產基金-累積類型人民幣計價,野村動態配置多重資產基金-月配類型人民幣計價,野村全球不動產證券化基金-月配類型人民幣計價,野村全球不動產證券化基金-月配類型人民幣計價,野村全球不動產證券化基金-累積類型人民幣計價,野村新興高收益債組合基金-累積型,野村新興高收益債組合基金-月配型,野村新興高收益債組合基金-月配型,野村全球不動產證券化基金累積型新臺幣計價,野村鑫平衡組合基金-累積類型,野村歐洲高股息基金季配型,野村鑫全球債券組合基金-累積類型,野村鑫全球債券組合基金-累積類型,野村美利堅高收益債基金-月配類型新臺幣計價,野村美利堅高收益債基金-月配類型新臺幣計價,野村美利堅高收益債基金-累積類型新臺幣計價,野村全球高股息基金累積型新臺幣計價,野村環球高收益債基金-月配類型新臺幣計價,野村環球高收益債基金-月配類型新臺幣計價,野村全球高股息基金-季配類型人民幣計價,野村全球不動產證券化基金月配型新臺幣計價,野村全球不動產證券化基金月配型新臺幣計價,野村環球高收益債基金-累積類型新臺幣計價,野村環球高收益債基金-累積類型美元計價,野村亞太複合高收益債基金-月配類型人民幣計價
2016-04-01,4.417,4.984,19.43,6.57,9.04,9.41,11.14,13.36,9.002,16.39,26.38,18.75,9.47,5.86,9.63,7.45,2.68,11.92,9.8273,13.586,20.61,9.55,8.89,9.5,9.585,12.35,22.18,10.2506,9.9058,40.33,23.4,11.3309,10.5626,10.0012,14.9803,16.1166,11.8839,8.343,10.5616,9.4362,8.3996,24.8,11.0843,11.2123,9.44,10.9034,12.7,29.16,27.43,50.49,11.1994,18.399,63.95,29.85,19.17,14.25,11.47,52.79,15.59,7.53,9.015,7.64,9.57,9.95,10.3,16.02,9.4,19.72,10.26,6.92,11.69,8.5,19.87,8.58,15.69,19.86,8.731,20.14,20.57,16.39,13.43,15.3,0.4597,0.45299999999999996,12.34,0.4691,0.3818,9.79,8.67,0.2767,2.0439,8.95,0.4115,0.318,5.81,10.2177,10.2178,0.3993,0.3162,0.3158,9.42,9.92,0.3402,0.3631,0.353,27.64,37.52,1.4568,1.946,11.59,13.03,18.07,16.8,9.8403,8.122,9.9496,7.4346,0.3073,0.2281,0.3197,2.0377,15.02,0.4639,12.39,9.8183,10.0548,11.7359,0.4073,11.2726,10.9835,11.4287,10.6874,0.3103,12.3264,11.1602,1.6474,0.3491,19.35,12.8676,12.8676,8.3005,8.3005,10.0009,10.34,10.34,7.8489,10.0156,10.1187,10.0116,10.0116,16.1288,12.0245,16.7881,9.9,8.5104,9.9,17.84,17.84,8.4295,8.4295,10.69,10.69,14.8,7.56,34.61,28.31,25.77,15.85,10.2,24.33,16.93,15.84,4.4,17.84,17.84,5.99,10.59,10.5132,9.5838,9.8492,10.0757,12.88,9.964,10.1643,19.28,33.68,9.5452,9.7467,10.0587,9.7656,10.34,10.34,10.44,11.1053,8.4295,8.4295,14.02,12.88,8.05,12.8676,12.8676,10.0116,10.0116,10.0639,16.34,8.3005,8.3005,9.24,10.69,10.69,9.5428,9.0971,9.398
2016-04-06,4.126,4.998,19.51,6.75,9.24,9.64,11.25,13.44,9.198,16.53,26.48,19.12,9.39,5.85,9.5,7.44,2.69,11.82,9.847,13.413,20.38,9.79,8.83,9.75,9.444,12.4,22.03,10.2657,9.9203,40.22,23.44,11.3356,10.5677,10.0015,14.981,16.1173,11.8844,8.242,10.5815,9.4454,8.4078,24.64,11.0936,11.2216,9.34,10.9122,12.46,29.07,26.91,50.11,11.1866,18.082,62.52,29.2,19.17,14.25,11.39,53.0,15.74,7.5,8.967,7.65,9.54,9.93,10.26,15.87,9.37,19.67,10.202,6.88,11.65,8.45,19.93,8.55,15.42,18.99,8.739,20.13,20.76,16.44,13.57,15.51,0.4637,0.4569,12.49,0.4748,0.3859,9.81,8.66,0.2757,2.0428,8.89,0.4147,0.3178,5.82,10.2167,10.2168,0.4024,0.3155,0.3151,9.4,9.92,0.33899999999999997,0.3629,0.3529,27.59,37.36,1.4492,1.9467,11.67,12.94,18.12,16.8,9.8456,8.0874,9.9376,7.3855,0.3063,0.2275,0.3194,2.0413,15.06,0.4642,12.33,9.7898,10.0755,11.7537,0.4046,11.3253,11.0306,11.4552,10.6923,0.3103,12.3268,11.1765,1.6456,0.349,19.32,12.8952,12.8952,8.3142,8.3142,10.0077,10.34,10.34,7.8496,10.0358,10.1368,10.0409,10.0409,16.1295,12.0247,16.7884,9.82,8.5083,9.82,17.57,17.57,8.4386,8.4386,10.68,10.68,14.84,7.58,34.9,28.19,25.7,15.67,10.18,24.28,16.91,15.77,4.1,17.57,17.57,5.92,10.55,10.4881,9.5479,9.8125,10.0493,12.86,9.9323,10.132,19.07,,9.4981,9.6985,10.0143,9.7225,10.34,10.34,10.44,11.1173,8.4386,8.4386,14.0,12.88,8.0,12.8952,12.8952,10.0409,10.0409,10.0934,16.2,8.3142,8.3142,9.14,10.68,10.68,9.5585,9.0978,9.3967
2016-04-07,4.1,4.973,19.74,6.7,9.19,9.57,10.94,13.42,9.141,16.28,26.11,19.17,9.47,5.83,9.52,7.41,2.69,11.79,9.8349,13.41,20.2,9.69,8.8,9.62,9.455,12.31,22.04,10.2791,9.9333,39.9,23.25,11.3471,10.5687,10.0015,14.9811,16.1174,11.8845,8.131,10.5759,9.3934,8.3615,24.5,11.0845,11.2124,9.22,10.8932,12.37,29.01,26.91,49.93,11.1912,18.044,62.41,29.13,19.37,14.23,11.31,52.82,15.5,7.48,8.907,7.74,9.46,9.86,10.33,15.81,9.29,19.61,10.268,6.9,11.71,8.47,19.65,8.59,15.36,18.9,8.732,19.61,20.2,16.24,13.55,15.54,0.4636,0.4567,12.46,0.4762,0.3852,9.69,8.62,0.2749,2.0436,8.88,0.4198,0.3146,5.76,10.2021,10.2021,0.4067,0.3155,0.315,9.37,9.89,0.3382,0.3621,0.35200000000000004,27.58,37.15,1.4505,1.9484,11.65,12.88,18.08,16.7,9.8408,8.0835,9.94,7.3873,0.306,0.2275,0.3195,2.0442,14.98,0.4623,12.24,9.7862,10.0719,11.7555,0.4019,11.3205,11.0265,11.4513,10.6932,0.3106,12.3269,11.1855,1.6448,0.3496,19.56,12.9008,12.9008,8.2926,8.2926,10.015,10.3,10.3,7.8371,10.0129,10.1086,10.0114,10.0114,16.1296,12.0248,16.7884,9.84,8.4919,9.83,17.56,17.56,8.4419,8.4419,10.64,10.64,14.82,7.56,34.78,28.11,25.55,15.74,10.14,24.18,16.83,15.73,4.09,17.56,17.56,5.93,10.46,10.4775,9.5279,9.7921,10.0381,12.74,9.9013,10.1003,18.89,32.8,9.479,9.679,9.9923,9.7012,10.3,10.3,10.4,11.1216,8.4419,8.4419,13.95,12.86,7.96,12.9008,12.9008,10.0114,10.0114,10.0637,16.08,8.2926,8.2926,9.08,10.64,10.64,9.5337,9.0834,9.4105
2016-04-08,4.362,5.111,19.69,6.69,9.14,9.53,11.03,13.41,9.097,16.26,25.97,19.06,9.55,5.89,9.56,7.48,2.68,11.86,9.8495,13.506,20.29,9.59,8.86,9.55,9.508,12.44,21.9,10.2749,9.9292,40.3,23.52,11.4347,10.5696,10.0016,14.9812,16.1176,11.8846,8.173,10.598,9.452,8.4137,24.51,11.1979,11.3272,9.28,10.9214,12.4,29.13,27.11,50.04,11.289,18.149,62.97,29.36,19.36,14.29,11.38,53.41,16.37,7.56,8.969,7.77,9.54,9.93,10.37,15.94,9.37,19.82,10.316,6.95,11.78,8.53,19.74,8.65,15.52,19.19,8.732,19.75,20.35,16.17,13.63,15.57,0.4656,0.4587,12.5,0.4763,0.386,9.78,8.67,0.2759,2.0475,8.96,0.4182,0.317,5.79,10.248,10.2481,0.4046,0.3164,0.316,9.4,9.92,0.3391,0.363,0.3529,27.69,37.36,1.4507,1.9497,11.69,12.95,18.16,16.76,9.8549,8.095,9.9521,7.3962,0.3064,0.2277,0.3199,2.0429,15.04,0.4635,12.35,9.8039,10.09,11.7635,0.405,11.3482,11.0526,11.4662,10.6942,0.3106,12.327,11.1965,1.6466,0.3495,19.51,12.9105,12.9105,8.317,8.317,10.0125,10.35,10.35,7.856,10.0402,10.1433,10.0415,10.0415,16.1298,12.0249,16.7885,9.83,8.5217,9.83,17.59,17.59,8.4482,8.4482,10.72,10.72,15.04,7.68,35.03,28.2,25.75,15.92,10.19,24.3,16.92,15.76,4.33,17.59,17.59,6.07,10.47,10.5095,9.5689,9.8342,10.0683,12.76,9.9513,10.1513,18.98,33.19,9.515,9.7157,10.0371,9.7448,10.35,10.35,10.45,11.1299,8.4482,8.4482,14.06,12.9,8.09,12.9105,12.9105,10.0415,10.0415,10.094,16.25,8.317,8.317,9.17,10.72,10.72,9.5618,9.1053,9.4239
2016-04-11,4.457,5.117,19.74,6.75,9.23,9.63,11.17,13.57,9.205,16.52,26.23,18.99,9.69,5.88,9.61,7.47,2.72,11.89,9.8308,13.568,20.38,9.7,8.9,9.66,9.57,12.38,21.91,10.2753,9.9296,40.17,23.43,11.4627,10.5725,10.0017,14.9816,16.118,11.8849,8.295,10.5937,9.4733,8.4326,24.61,11.2206,11.3501,9.38,10.9197,12.4,28.92,27.21,50.16,11.3335,18.177,63.2,29.48,19.19,14.27,11.38,53.08,16.68,7.51,8.971,7.85,9.53,9.93,10.39,15.88,9.35,19.8,10.348,6.93,11.79,8.51,19.66,8.66,15.49,19.33,8.577,19.6,20.62,16.31,13.75,15.75,0.4706,0.4635,12.63,0.4827,0.3907,9.74,8.67,0.2767,2.0473,9.02,0.4166,0.3161,5.77,10.2426,10.2427,0.4032,0.3169,0.3164,9.39,9.92,0.3391,0.3631,0.3529,27.66,37.43,1.4513,1.9505,11.53,12.99,18.15,16.79,9.8713,8.1085,9.9699,7.4095,0.3069,0.2281,0.3205,2.0429,15.02,0.4638,12.33,9.8006,10.0867,11.7547,0.4051,11.3759,11.0778,11.4726,10.6971,0.3111,12.3273,11.1994,1.6495,0.3502,19.35,12.9031,12.9031,8.2696,8.2696,10.0121,10.29,10.29,7.8166,9.9965,10.0853,9.9916,9.9916,16.1302,12.025,16.7887,9.88,8.4673,9.87,17.66,17.66,8.4146,8.4146,10.62,10.62,14.81,7.57,34.72,28.03,25.5,15.97,10.14,24.19,16.8,15.71,4.41,17.66,17.66,6.15,10.42,10.4626,9.5226,9.8236,9.9635,12.68,9.9078,10.1355,18.93,33.16,9.4879,9.7167,10.0268,9.6967,10.29,10.29,10.44,11.1305,8.4146,8.4146,14.0,12.9,8.07,12.9031,12.9031,9.9916,9.9916,10.0965,16.23,8.2696,8.2696,9.09,10.62,10.62,9.5671,9.1195,9.3773
2016-04-12,4.608,5.212,19.53,6.7,9.18,9.57,11.15,13.56,9.154,16.46,26.19,19.03,9.69,5.9,9.64,7.5,2.72,11.92,9.8291,13.608,20.32,9.67,8.93,9.61,9.6,12.17,21.96,10.2826,9.9366,39.39,22.97,11.5144,10.5735,10.0018,14.9817,16.1181,11.885,8.357,10.5932,9.5041,8.4601,24.51,11.2626,11.3926,9.45,10.9124,12.41,28.27,27.05,49.96,11.3781,18.082,63.08,29.42,19.24,14.29,11.15,52.34,17.22,7.34,9.044,7.86,9.6,9.98,10.42,15.62,9.43,19.5,10.376,6.98,11.82,8.57,19.83,8.68,15.54,19.28,8.66,20.0,20.6,16.29,13.79,15.8,0.4721,0.465,12.68,0.4844,0.3923,9.73,8.69,0.2773,2.0563,9.06,0.4132,0.316,5.82,10.2794,10.2795,0.3994,0.3181,0.3176,9.42,9.94,0.3401,0.3641,0.3539,27.09,36.88,1.4555,1.9562,11.33,12.85,17.94,16.61,9.8982,8.1306,9.9927,7.4264,0.3077,0.2286,0.3213,2.0437,15.06,0.4651,12.36,9.7972,10.0831,11.7633,0.4061,11.367,11.0703,11.4645,10.6981,0.311,12.3274,11.1832,1.6487,0.3498,19.36,12.907,12.907,8.2951,8.2951,10.0067,10.34,10.34,7.8422,10.0289,10.1163,10.0238,10.0238,16.1304,12.0251,16.7888,9.9,8.4939,9.9,17.42,17.42,8.4307,8.4307,10.68,10.68,14.2,7.26,33.94,27.38,24.92,15.73,9.98,23.8,16.53,15.52,4.54,17.42,17.42,6.22,10.49,10.4702,9.5333,9.8344,9.9709,12.76,9.9263,10.1544,19.04,33.52,9.5071,9.7363,10.0455,9.7142,10.34,10.34,10.48,11.1518,8.4307,8.4307,14.09,12.92,8.12,12.907,12.907,10.0238,10.0238,10.1291,16.39,8.2951,8.2951,9.18,10.68,10.68,9.5965,9.1494,9.3814
2016-04-13,4.683,5.225,19.33,6.71,9.27,9.63,11.55,13.76,9.221,16.67,26.5,18.72,9.88,5.89,9.91,7.49,2.77,12.01,9.8191,13.942,20.68,9.74,9.07,9.66,9.845,12.34,22.16,10.2848,9.9218,40.18,23.46,11.4689,10.5744,10.0018,14.9819,16.1183,11.8851,8.441,10.5665,9.4703,8.4049,24.79,11.1864,11.3611,9.53,10.8835,12.57,28.93,27.46,50.36,11.3128,18.338,64.13,29.89,18.87,14.32,11.25,53.1,17.12,7.47,9.101,7.79,9.68,10.04,10.47,15.88,9.48,19.79,10.413,7.0,11.85,8.62,20.01,8.68,15.7,19.92,8.641,20.37,21.33,16.46,13.88,15.97,0.4757,0.4685,12.74,0.4901,0.3946,9.72,8.77,0.2802,2.0727,9.22,0.4175,0.3161,5.81,10.3333,10.3334,0.4035,0.3201,0.3196,9.46,9.99,0.3417,0.3659,0.3556,27.53,37.38,1.4637,1.9672,11.49,13.01,18.23,16.84,9.9238,8.1517,10.0308,7.4547,0.3089,0.2294,0.3225,2.0484,15.25,0.4714,12.32,9.7933,10.0791,11.7673,0.4054,11.3356,11.040999999999999,11.4407,10.699000000000002,0.3112,12.3275,11.1472,1.646,0.3489,19.0,12.9131,12.9131,8.3398,8.3398,10.0088,10.35,10.35,7.8839,10.0858,10.1733,10.0767,10.0767,16.1305,12.0251,16.7889,10.04,8.5428,10.04,17.55,17.55,8.4436,8.4436,10.66,10.66,14.61,7.47,34.68,27.71,25.35,15.98,10.11,24.1,16.73,15.65,4.62,17.55,17.55,6.32,10.58,10.516,9.5639,9.866,10.0143,12.87,9.9471,10.1757,19.35,,9.5353,9.7652,10.0748,9.7423,10.35,10.35,10.5,11.1688,8.4436,8.4436,14.06,13.0,8.21,12.9131,12.9131,10.0767,10.0767,10.1826,16.63,8.3398,8.3398,9.32,10.66,10.66,9.6483,9.198,9.3908
2016-04-14,4.653,5.2,19.34,6.77,9.32,9.7,11.47,13.84,9.263,16.8,26.56,18.66,10.06,5.92,9.94,7.53,2.78,12.09,9.8457,14.015,20.7,9.82,9.11,9.75,9.871,12.32,22.29,10.2888,9.9256,40.23,23.52,11.4677,10.5753,10.002,14.982,16.1184,11.8851,,10.5862,9.4608,8.3966,24.86,11.2017,11.3766,,10.9005,12.59,29.08,27.45,50.54,11.2982,18.371,64.22,29.92,18.96,14.37,11.27,53.3,16.95,7.49,9.119,7.65,9.73,10.08,10.62,15.95,9.52,19.85,10.544,7.08,12.03,8.72,20.07,8.81,15.72,20.01,8.574,20.43,21.17,16.5,13.98,16.08,0.4779,0.4706,12.82,0.4921,0.3967,9.79,8.84,0.2814,2.0849,9.25,0.4172,0.3174,5.83,10.41,10.4101,0.401,0.3216,0.3211,9.48,10.01,0.3422,0.3664,0.3561,27.52,37.38,1.4687,1.974,11.49,13.02,18.26,16.81,9.9616,8.1827,10.0555,7.4731,0.3096,0.2305,0.3233,2.0515,15.31,0.47200000000000003,12.39,9.821,10.1076,11.8038,0.4065,11.3572,11.0625,11.4526,10.7,0.3115,12.3276,11.1481,1.6442,0.3482,19.1,12.9598,12.9598,8.3739,8.3739,10.01,10.34,10.34,7.902,10.1072,10.1993,10.1062,10.1062,16.1307,12.0252,16.7889,10.09,8.5673,10.09,17.6,17.6,8.4869,8.4869,10.66,10.66,14.62,7.48,34.76,27.75,25.41,15.99,10.15,24.19,16.76,15.68,4.61,17.6,17.6,6.26,10.58,10.4588,9.5429,9.8443,9.9602,12.89,9.9562,10.1851,19.33,,9.5221,9.7518,10.0586,9.7267,10.34,10.34,10.48,11.226,8.4869,8.4869,14.06,13.06,8.21,12.9598,12.9598,10.1062,10.1062,10.2124,16.67,8.3739,8.3739,9.32,10.66,10.66,9.6878,9.2191,9.4153
2016-04-15,4.645,5.161,19.34,6.74,9.28,9.65,11.47,13.8,9.236,16.66,26.54,18.54,9.97,5.92,9.95,7.53,2.77,12.06,9.8188,13.997,20.88,9.77,9.05,9.69,9.885,12.38,22.34,10.291,9.9278,40.26,23.62,11.4646,10.5762,10.002,14.9821,16.1186,11.8852,,10.5623,9.4544,8.3908,24.97,11.181,11.3556,,10.8843,12.67,29.07,27.46,50.72,11.308,18.428,64.38,29.99,18.91,14.35,11.23,53.45,16.61,7.49,9.116,7.7,9.7,10.05,10.6,16.02,9.49,19.87,10.543,7.06,12.0,8.69,20.0,8.79,15.7,20.18,8.614,20.35,21.19,16.5,13.95,16.01,0.4783,0.47100000000000003,12.76,0.4913,0.3958,9.73,8.86,0.2828,2.0853,9.2,0.41600000000000004,0.3163,5.77,10.3953,10.3953,0.4001,0.322,0.3215,9.47,10.0,0.3422,0.3664,0.3561,27.47,37.42,1.4681,1.9731,11.52,13.05,18.26,16.84,9.9579,8.1797,10.06,7.4764,0.3098,0.2306,0.3235,2.0515,15.25,0.4714,12.35,9.8072,10.0934,11.8021,0.4062,11.3375,11.0429,11.4424,10.7009,0.3119,12.3277,11.1226,1.6462,0.3482,19.07,12.9632,12.9632,8.3545,8.3545,10.0152,10.38,10.38,7.8969,10.0885,10.1916,10.0791,10.0791,16.1308,12.0252,16.789,10.13,8.5707,10.13,17.63,17.63,8.4874,8.4874,10.7,10.7,14.79,7.56,35.0,27.74,25.67,16.16,10.19,24.3,16.88,15.71,4.61,17.63,17.63,6.2,10.59,10.5174,9.571,9.8733,10.0174,12.86,9.9511,10.1798,19.28,,9.5396,9.7697,10.0905,9.7573,10.38,10.38,10.53,11.2268,8.4874,8.4874,14.1,13.02,8.19,12.9632,12.9632,10.0791,10.0791,10.1849,16.6,8.3545,8.3545,9.32,10.7,10.7,9.6653,9.2132,9.4361
2016-04-18,4.527,5.174,19.24,6.74,9.25,9.63,11.26,13.72,9.202,16.56,26.33,18.7,9.85,5.95,9.88,7.57,2.75,12.08,9.8354,13.918,20.79,9.68,9.06,9.62,9.813,12.38,22.21,10.2969,9.9335,39.98,23.58,11.5286,10.579,10.0022,14.9825,16.119,11.8855,8.557,10.5862,9.5051,8.4359,24.86,11.2623,11.4382,9.67,10.9054,12.65,29.09,27.31,50.67,11.3713,18.334,64.08,29.85,19.13,14.36,11.25,53.22,16.51,7.48,9.121,7.71,9.72,10.07,10.43,15.99,9.52,19.74,10.371,7.0,11.83,8.62,20.17,8.66,15.66,19.87,8.782,20.61,20.79,16.39,13.85,15.96,0.4739,0.4667,12.67,0.489,0.3925,9.79,8.81,0.2808,2.0805,9.16,0.4139,0.3175,5.83,10.3892,10.3892,0.3991,0.3213,0.3208,9.49,10.02,0.3425,0.3669,0.3565,27.22,37.2,1.4673,1.9721,11.49,12.97,18.1,16.79,9.9664,8.1866,10.0565,7.4738,0.3096,0.2305,0.3234,2.0501,15.32,0.4728,12.37,9.8163,10.1028,11.8106,0.4064,11.3621,11.0657,11.4549,10.7038,0.3117,12.3279,11.135,1.6467,0.3481,19.27,12.9778,12.9778,8.3556,8.3556,10.0156,10.38,10.38,7.8915,10.0867,10.1812,10.0834,10.0834,16.1312,12.0253,16.7892,10.06,8.5557,10.06,17.53,17.53,8.4996,8.4996,10.7,10.7,14.77,7.55,34.94,27.58,25.6,16.15,10.17,24.27,16.85,15.64,4.47,17.53,17.53,6.14,10.65,10.5119,9.5697,9.8721,10.0118,12.96,9.9723,10.2015,19.42,33.87,9.546,9.7763,10.0882,9.7551,10.38,10.38,10.53,11.2429,8.4996,8.4996,14.11,13.05,8.24,12.9778,12.9778,10.0834,10.0834,10.1893,16.66,8.3556,8.3556,9.33,10.7,10.7,9.6666,9.2069,9.4214
